,reviews,rating,remove_lower_punct,tokenise,changed,lemmatise
4590,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",0,thalia is a beautiful restaurant with beautiful people serving you  but the food doesn't quite match up,"['thalia', 'is', 'a', 'beautiful', 'restaurant', 'with', 'beautiful', 'people', 'serving', 'you', 'but', 'the', 'food', ""doesn't"", 'quite', 'match', 'up']",thalia beautiful restaurant beautiful people serving but food not quite match,thalia beautiful restaurant beautiful people serving but food not quite match
4591,"Found service above average, but that could be because we were 13 of us.",1,found service above average  but that could be because we were 13 of us,"['found', 'service', 'above', 'average', 'but', 'that', 'could', 'be', 'because', 'we', 'were', '13', 'of', 'us']",found service average but could 13 u,found service average but could 13 u
4592,"Bagels are ok, but be sure not to make any special requests!",0,bagels are ok  but be sure not to make any special requests,"['bagels', 'are', 'ok', 'but', 'be', 'sure', 'not', 'to', 'make', 'any', 'special', 'requests']",bagel ok but sure not make special request,bagel ok but sure not make special request
4593,The portions are small but being that the food was so good makes up for that.,1,the portions are small but being that the food was so good makes up for that,"['the', 'portions', 'are', 'small', 'but', 'being', 'that', 'the', 'food', 'was', 'so', 'good', 'makes', 'up', 'for', 'that']",portion small but food good make,portion small but food good make
4594,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,1,the wine list is extensive and can easily hike up an otherwise reasonably priced meal,"['the', 'wine', 'list', 'is', 'extensive', 'and', 'can', 'easily', 'hike', 'up', 'an', 'otherwise', 'reasonably', 'priced', 'meal']",wine list extensive and easily hike otherwise reasonably priced meal,wine list extensive and easily hike otherwise reasonably priced meal
4595,"Saul is pretty good, but definitely not great.",0,saul is pretty good  but definitely not great,"['saul', 'is', 'pretty', 'good', 'but', 'definitely', 'not', 'great']",saul pretty good but definitely not great,saul pretty good but definitely not great
4596,"I would recommend Roxy's for that, but not for their food.",0,i would recommend roxy's for that  but not for their food,"['i', 'would', 'recommend', ""roxy's"", 'for', 'that', 'but', 'not', 'for', 'their', 'food']",would recommend roxy's but not food,would recommend roxy's but not food
4597,"The puke green walls leave a lot to be desired, but the food is very good.",1,the puke green walls leave a lot to be desired  but the food is very good,"['the', 'puke', 'green', 'walls', 'leave', 'a', 'lot', 'to', 'be', 'desired', 'but', 'the', 'food', 'is', 'very', 'good']",puke green wall leave lot desired but food very good,puke green wall leave lot desired but food very good
4598,I was wrong.,0,i was wrong,"['i', 'was', 'wrong']",wrong,wrong
4599,"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for.",0,while sapphire is certainly not lacking in ambiance  and probably has the best decor of any indian restaurant i have been to in new york city  the food was not what i had hoped for,"['while', 'sapphire', 'is', 'certainly', 'not', 'lacking', 'in', 'ambiance', 'and', 'probably', 'has', 'the', 'best', 'decor', 'of', 'any', 'indian', 'restaurant', 'i', 'have', 'been', 'to', 'in', 'new', 'york', 'city', 'the', 'food', 'was', 'not', 'what', 'i', 'had', 'hoped', 'for']",sapphire certainly not lacking ambiance and probably best decor indian restaurant new york city food not hoped,sapphire certainly not lacking ambiance and probably best decor indian restaurant new york city food not hoped
4600,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",1,you don't go to mizu for excellent service  you go for the large amounts of food  the amiable atmosphere  and the hole-in-the-wall feeling of the place,"['you', ""don't"", 'go', 'to', 'mizu', 'for', 'excellent', 'service', 'you', 'go', 'for', 'the', 'large', 'amounts', 'of', 'food', 'the', 'amiable', 'atmosphere', 'and', 'the', 'hole-in-the-wall', 'feeling', 'of', 'the', 'place']",not go mizu excellent service go large amount food amiable atmosphere and hole-in-the-wall feeling place,not go mizu excellent service go large amount food amiable atmosphere and hole-in-the-wall feeling place
4601,"The food here is rather good, but only if you like to wait for it.",1,the food here is rather good  but only if you like to wait for it,"['the', 'food', 'here', 'is', 'rather', 'good', 'but', 'only', 'if', 'you', 'like', 'to', 'wait', 'for', 'it']",food rather good but like wait,food rather good but like wait
4602,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",1,the decor in this place is very diner-ish and the kind of place you expect in the east village - not romantic  just simple  small and sparse,"['the', 'decor', 'in', 'this', 'place', 'is', 'very', 'diner-ish', 'and', 'the', 'kind', 'of', 'place', 'you', 'expect', 'in', 'the', 'east', 'village', '-', 'not', 'romantic', 'just', 'simple', 'small', 'and', 'sparse']",decor place very diner-ish and kind place expect east village - not romantic simple small and sparse,decor place very diner-ish and kind place expect east village - not romantic simple small and sparse
4603,This is a cute place and could be good but they need to get their act together.,1,this is a cute place and could be good but they need to get their act together,"['this', 'is', 'a', 'cute', 'place', 'and', 'could', 'be', 'good', 'but', 'they', 'need', 'to', 'get', 'their', 'act', 'together']",cute place and could good but need get act together,cute place and could good but need get act together
4604,"Sure enough, exactly 30 minutes later we got the call and were seated promptly.",1,sure enough  exactly 30 minutes later we got the call and were seated promptly,"['sure', 'enough', 'exactly', '30', 'minutes', 'later', 'we', 'got', 'the', 'call', 'and', 'were', 'seated', 'promptly']",sure enough exactly 30 minute later got call and seated promptly,sure enough exactly 30 minute later got call and seated promptly
4605,"The food is good, but very expensive for the casualness of it.",0,the food is good  but very expensive for the casualness of it,"['the', 'food', 'is', 'good', 'but', 'very', 'expensive', 'for', 'the', 'casualness', 'of', 'it']",food good but very expensive casualness,food good but very expensive casualness
4606,The only fallback on this restaurant is the prices.,0,the only fallback on this restaurant is the prices,"['the', 'only', 'fallback', 'on', 'this', 'restaurant', 'is', 'the', 'prices']",fallback restaurant price,fallback restaurant price
4607,The service is ok but could be better.,1,the service is ok but could be better,"['the', 'service', 'is', 'ok', 'but', 'could', 'be', 'better']",service ok but could better,service ok but could better
4608,"The main course had an average portion, and was decent overall.",1,the main course had an average portion  and was decent overall,"['the', 'main', 'course', 'had', 'an', 'average', 'portion', 'and', 'was', 'decent', 'overall']",main course average portion and decent overall,main course average portion and decent overall
4609,"The $300 bill was a bit steep, but the experience was great.",1,the $300 bill was a bit steep  but the experience was great,"['the', '$300', 'bill', 'was', 'a', 'bit', 'steep', 'but', 'the', 'experience', 'was', 'great']",$300 bill bit steep but experience great,$300 bill bit steep but experience great
4610,"I've eaten at Pizza Gruppo a few times, but more often I order delivery.",1,i've eaten at pizza gruppo a few times  but more often i order delivery,"[""i've"", 'eaten', 'at', 'pizza', 'gruppo', 'a', 'few', 'times', 'but', 'more', 'often', 'i', 'order', 'delivery']",I eaten pizza gruppo time but often order delivery,I eaten pizza gruppo time but often order delivery
4611,"Average to good Thai food, but terrible delivery.",0,average to good thai food  but terrible delivery,"['average', 'to', 'good', 'thai', 'food', 'but', 'terrible', 'delivery']",average good thai food but terrible delivery,average good thai food but terrible delivery
4612,You should not call yourself a Mexican restaurant.,0,you should not call yourself a mexican restaurant,"['you', 'should', 'not', 'call', 'yourself', 'a', 'mexican', 'restaurant']",should not call mexican restaurant,should not call mexican restaurant
4613,"I would definitely go back for a very special occasion, but not for regular fine dining.",0,i would definitely go back for a very special occasion  but not for regular fine dining,"['i', 'would', 'definitely', 'go', 'back', 'for', 'a', 'very', 'special', 'occasion', 'but', 'not', 'for', 'regular', 'fine', 'dining']",would definitely go back very special occasion but not regular fine dining,would definitely go back very special occasion but not regular fine dining
4614,Food was dry and not cooked well ,0,food was dry and not cooked well,"['food', 'was', 'dry', 'and', 'not', 'cooked', 'well']",food dry and not cooked well,food dry and not cooked well
4615,The service is not consistently excellent -- just decent.,1,the service is not consistently excellent -- just decent,"['the', 'service', 'is', 'not', 'consistently', 'excellent', '--', 'just', 'decent']",service not consistently excellent -- decent,service not consistently excellent -- decent
4616,Food and service was okay.,1,food and service was okay,"['food', 'and', 'service', 'was', 'okay']",food and service okay,food and service okay
4617,"While this is a pretty place in that overly cute French way, the food was insultingly horrible.",0,while this is a pretty place in that overly cute french way  the food was insultingly horrible,"['while', 'this', 'is', 'a', 'pretty', 'place', 'in', 'that', 'overly', 'cute', 'french', 'way', 'the', 'food', 'was', 'insultingly', 'horrible']",pretty place overly cute french way food insultingly horrible,pretty place overly cute french way food insultingly horrible
